sysid;customerId;addressType;street1;street2;city;zip;zipExtension;state;country;email;phone
1100;100;Personnal;Carpinteria South;;Juneau;;;AR;US;Ulysses.Johnson@gmail.com;234-555-1212
1101;101;Business;Fairview Avenue;;Carson City;;;OH;US;Dwight.Clinton@gmail.com;234-555-1212
1102;102;Business;El Camino Real;;Lincoln;;;MN;US;Jimmy.Harrison@gmail.com;234-555-1212
1103;103;Business;Carpinteria South;;Austin;;;HI;US;John.Cleveland@gmail.com;234-555-1212
1104;104;Personnal;Bowles Avenue;;Columbus;;;SC;US;Herbert.Eisenhower@gmail.com;234-555-1212
1105;105;Business;Moreno Drive;;Lansing;;;KY;US;Martin.Tyler@gmail.com;234-555-1212
1106;106;Business;San Ysidro Blvd;;Phoenix;;;GA;US;George.Adams@gmail.com;234-555-1212
1107;107;Personnal;French Camp Turnpike Road;;Montpelier;;;MA;US;Andrew.Van Buren@gmail.com;234-555-1212
1108;108;Personnal;San Luis Obispo North;;Springfield;;;AL;US;Zachary.Johnson@gmail.com;234-555-1212
1109;109;Business;Tully Road East;;Annapolis;;;NY;US;James.Coolidge@gmail.com;234-555-1212
1110;110;Business;Monroe Street;;Oklahoma City;;;WY;US;Calvin.Nixon@gmail.com;234-555-1212
1111;111;Business;Cerrillos Road;;Phoenix;;;UT;US;William.Ford@gmail.com;234-555-1212
1112;112;Business;Lake Tahoe Blvd.;;Lansing;;;NH;US;Richard.Carter@gmail.com;234-555-1212
1113;113;Personnal;French Camp Turnpike Road;;Springfield;;;TX;US;Dwight.Van Buren@gmail.com;234-555-1212
1114;114;Personnal;San Simeon;;Jefferson City;;;MS;US;Chester.Pierce@gmail.com;234-555-1212
1115;115;Personnal;Cleveland Ave.;;Pierre;;;CA;US;Millard.Jefferson@gmail.com;234-555-1212
1116;116;Personnal;Camelback Rd;;Jefferson City;;;UT;US;Calvin.Roosevelt@gmail.com;234-555-1212
1117;117;Business;Pacific Hwy S;;Frankfort;;;NJ;US;Franklin.Wilson@gmail.com;234-555-1212
1118;118;Personnal;Erringer Road;;Montpelier;;;NV;US;Thomas.Tyler@gmail.com;234-555-1212
1119;119;Personnal;S Rustle St;;Oklahoma City;;;AZ;US;Bill.Hoover@gmail.com;234-555-1212
