sysid;customerId;last;first;gender
100;C1000;Johnson;Ulysses;M
101;C1001;Clinton;Dwight;F
102;C1002;Harrison;Jimmy;F
103;C1003;Cleveland;John;F
104;C1004;Eisenhower;Herbert;M
105;C1005;Tyler;Martin;F
106;C1006;Adams;George;F
107;C1007;Van Buren;Andrew;F
108;C1008;Johnson;Zachary;M
109;C1009;Coolidge;James;M
110;C1010;Nixon;Calvin;M
111;C1011;Ford;William;M
112;C1012;Carter;Richard;F
113;C1013;Van Buren;Dwight;F
114;C1014;Pierce;Chester;F
115;C1015;Jefferson;Millard;F
116;C1016;Roosevelt;Calvin;M
117;C1017;Wilson;Franklin;M
118;C1018;Tyler;Thomas;F
119;C1019;Hoover;Bill;F
120;C1020;Polk;William;F
121;C1021;Harrison;Andrew;M
122;C1022;Taylor;Dwight;F
123;C1023;Washington;Gerald;M
124;C1024;Taft;Rutherford;F
125;C1025;Taft;Ulysses;F
126;C1026;Ford;Grover;M
127;C1027;Pierce;William;M
128;C1028;Tyler;William;F
129;C1029;Lincoln;Andrew;M
130;C1030;Polk;Dwight;F
131;C1031;Madison;Ronald;F
132;C1032;Tyler;Millard;F
133;C1033;Van Buren;William;M
134;C1034;Harrison;John;F
135;C1035;Quincy;William;F
136;C1036;Roosevelt;Ronald;M
137;C1037;Harrison;Theodore;M
138;C1038;Grant;Millard;F
139;C1039;Carter;William;M
140;C1040;McKinley;Gerald;M
141;C1041;Wilson;Dwight;F
142;C1042;Coolidge;Rutherford;F
143;C1043;Eisenhower;Ulysses;M
144;C1044;Garfield;Warren;M
145;C1045;Adams;Franklin;F
146;C1046;Hayes;Thomas;F
147;C1047;McKinley;George;M
148;C1048;Truman;Lyndon;F
149;C1049;Fillmore;Thomas;M
150;C1050;Harding;Harry;M
151;C1051;Wilson;Abraham;M
152;C1052;Taft;Harry;M
153;C1053;Truman;Harry;M
154;C1054;Garfield;Woodrow;F
155;C1055;Truman;John;F
156;C1056;Fillmore;Calvin;F
157;C1057;Monroe;Lyndon;M
158;C1058;Arthur;Calvin;M
159;C1059;Van Buren;Theodore;F
160;C1060;Polk;Herbert;F
161;C1061;Fillmore;Theodore;M
162;C1062;Cleveland;Martin;F
163;C1063;Harrison;Millard;F
164;C1064;Washington;Millard;M
165;C1065;Washington;Richard;M
166;C1066;Reagan;Jimmy;F
167;C1067;Adams;James;F
168;C1068;Kennedy;Rutherford;F
169;C1069;Jefferson;Chester;M
170;C1070;Cleveland;Bill;M
171;C1071;Hayes;Martin;M
172;C1072;Jefferson;Harry;F
173;C1073;Wilson;Benjamin;F
174;C1074;Fillmore;John;M
175;C1075;Lincoln;Bill;M
176;C1076;Jefferson;Thomas;M
177;C1077;Roosevelt;William;F
178;C1078;Roosevelt;Franklin;F
179;C1079;Wilson;William;F
180;C1080;Taft;Woodrow;F
181;C1081;Washington;Lyndon;M
182;C1082;Taylor;Harry;M
183;C1083;Harrison;Lyndon;F
184;C1084;Johnson;James;M
185;C1085;Monroe;George;F
186;C1086;Nixon;Andrew;M
187;C1087;Adams;Martin;F
188;C1088;Adams;Abraham;F
189;C1089;Taft;Calvin;M
190;C1090;Ford;John;M
191;C1091;Harrison;Zachary;M
192;C1092;Taft;Franklin;M
193;C1093;Nixon;Chester;F
194;C1094;Harrison;Rutherford;F
195;C1095;Jefferson;Warren;M
196;C1096;Grant;Abraham;F
197;C1097;Harding;Chester;F
198;C1098;Arthur;Bill;M
199;C1099;McKinley;Millard;M
