sysid;customerId;last;first;gender
100;C1000;Quincy;Grover;F
101;C1001;Madison;Thomas;M
102;C1002;Reagan;Warren;M
103;C1003;Harrison;Richard;M
104;C1004;Clinton;Jimmy;F
105;C1005;Buchanan;Richard;F
106;C1006;Lincoln;Ronald;F
107;C1007;Johnson;Jimmy;F
108;C1008;Van Buren;Herbert;F
109;C1009;Jefferson;Franklin;M
110;C1010;Carter;Theodore;M
111;C1011;Buchanan;Bill;F
112;C1012;Buchanan;Richard;F
113;C1013;Taft;William;F
114;C1014;Truman;Grover;F
115;C1015;Nixon;Zachary;M
116;C1016;Roosevelt;Jimmy;M
117;C1017;Garfield;Dwight;M
118;C1018;Monroe;Gerald;M
119;C1019;Ford;Zachary;F
120;C1020;Hoover;Ronald;M
121;C1021;Kennedy;William;F
122;C1022;Arthur;Warren;F
123;C1023;Roosevelt;James;F
124;C1024;Harrison;Abraham;F
125;C1025;Grant;Woodrow;F
126;C1026;Ford;Rutherford;F
127;C1027;Van Buren;Dwight;F
128;C1028;Cleveland;Millard;M
129;C1029;Van Buren;Franklin;F
130;C1030;Hoover;Ulysses;M
131;C1031;Buchanan;Benjamin;F
132;C1032;Wilson;John;M
133;C1033;Johnson;Benjamin;M
134;C1034;Roosevelt;Lyndon;F
135;C1035;Polk;Dwight;M
136;C1036;Arthur;George;F
137;C1037;Clinton;Ronald;F
138;C1038;Jefferson;John;F
139;C1039;Quincy;Andrew;M
140;C1040;Jefferson;Franklin;F
141;C1041;Hayes;George;M
142;C1042;Garfield;Benjamin;M
143;C1043;Reagan;Rutherford;F
144;C1044;Roosevelt;Martin;F
145;C1045;Eisenhower;Rutherford;F
146;C1046;Jefferson;Chester;M
147;C1047;Grant;Ronald;M
148;C1048;Garfield;Harry;F
149;C1049;Cleveland;John;M
150;C1050;Hayes;John;F
151;C1051;Arthur;Grover;M
152;C1052;Hayes;Theodore;M
153;C1053;Fillmore;George;M
154;C1054;Carter;Rutherford;M
155;C1055;Hayes;Grover;M
156;C1056;Eisenhower;Warren;M
157;C1057;Eisenhower;Theodore;M
158;C1058;Harding;Martin;M
159;C1059;McKinley;William;M
160;C1060;Roosevelt;Millard;M
161;C1061;Jefferson;Andrew;M
162;C1062;Garfield;James;M
163;C1063;Hoover;Ronald;M
164;C1064;Cleveland;Grover;M
165;C1065;Adams;Woodrow;F
166;C1066;Monroe;Lyndon;F
167;C1067;Clinton;Jimmy;F
168;C1068;Taylor;Lyndon;M
169;C1069;Harrison;Calvin;F
170;C1070;Taylor;Lyndon;M
171;C1071;Adams;Ronald;M
172;C1072;Hayes;Martin;F
173;C1073;Van Buren;Gerald;F
174;C1074;Buchanan;Rutherford;F
175;C1075;Grant;Theodore;F
176;C1076;Hoover;Andrew;F
177;C1077;Madison;Thomas;M
178;C1078;Adams;Richard;M
179;C1079;Adams;Thomas;F
180;C1080;Truman;Ronald;M
181;C1081;Garfield;Thomas;F
182;C1082;Polk;Lyndon;M
183;C1083;Adams;Ronald;F
184;C1084;Truman;Richard;M
185;C1085;Eisenhower;Benjamin;F
186;C1086;Clinton;Theodore;M
187;C1087;Arthur;George;F
188;C1088;Harrison;Dwight;M
189;C1089;Harrison;Lyndon;F
190;C1090;Monroe;Ronald;M
191;C1091;Grant;Rutherford;F
192;C1092;Pierce;Warren;M
193;C1093;Adams;William;F
194;C1094;Quincy;Ulysses;M
195;C1095;Reagan;James;F
196;C1096;Madison;James;M
197;C1097;Taft;Dwight;F
198;C1098;Ford;Abraham;M
199;C1099;Johnson;James;M
200;C1100;Monroe;Grover;F
201;C1101;Eisenhower;John;F
202;C1102;Coolidge;Gerald;F
203;C1103;Hoover;William;F
204;C1104;Taft;Bill;M
205;C1105;Buchanan;Andrew;F
206;C1106;Hayes;Grover;M
207;C1107;Taft;James;M
208;C1108;Lincoln;Jimmy;F
209;C1109;Cleveland;Zachary;F
