sysid;customerId;addressType;street1;street2;city;zip;zipExtension;state;country;email;phone
1100;100;Business;Carpinteria South;;Topeka;;;;US;Rutherford.Adams@gmail.com;234-555-1212
1101;101;Personnal;Apalachee Parkway;;Albany;;;;US;John.Quincy@gmail.com;234-555-1212
1102;102;Personnal;North Preisker Lane;;Boise;;;;US;James.Harrison@gmail.com;234-555-1212
1103;103;Business;East Fry Blvd.;;Santa Fe;;;;US;Ronald.McKinley@gmail.com;234-555-1212
1104;104;Business;San Luis Obispo North;;Columbia;;;;US;Chester.Ford@gmail.com;234-555-1212
1105;105;Personnal;North Atherton Street;;Richmond;;;;US;Millard.Jackson@gmail.com;234-555-1212
1106;106;Business;Erringer Road;;Baton Rouge;;;;US;John.Truman@gmail.com;234-555-1212
1107;107;Personnal;Katella Avenue;;Oklahoma City;;;;US;William.Hayes@gmail.com;234-555-1212
1108;108;Business;San Luis Obispo North;;Trenton;;;;US;Rutherford.Cleveland@gmail.com;234-555-1212
1109;109;Personnal;Lake Tahoe Blvd.;;Springfield;;;;US;James.Madison@gmail.com;234-555-1212
1110;110;Business;San Simeon;;Indianapolis;;;;US;Grover.Taft@gmail.com;234-555-1212
1111;111;Business;Calle Real;;Jefferson City;;;;US;Grover.Tyler@gmail.com;234-555-1212
1112;112;Personnal;Steele Lane;;Denver;;;;US;Benjamin.Eisenhower@gmail.com;234-555-1212
1113;113;Personnal;Via Real;;Richmond;;;;US;Gerald.Jefferson@gmail.com;234-555-1212
1114;114;Business;Bayshore Freeway;;Santa Fe;;;;US;Chester.Garfield@gmail.com;234-555-1212
1115;115;Business;Richmond Hill;;Hartford;;;;US;William.Fillmore@gmail.com;234-555-1212
1116;116;Personnal;Fontaine Road;;Phoenix;;;;US;Dwight.Madison@gmail.com;234-555-1212
1117;117;Personnal;Katella Avenue;;Columbus;;;;US;Theodore.Cleveland@gmail.com;234-555-1212
1118;118;Business;Bailard Avenue;;Atlanta;;;;US;Dwight.Reagan@gmail.com;234-555-1212
1119;119;Business;Moreno Drive;;Tallahassee;;;;US;Theodore.Roosevelt@gmail.com;234-555-1212
1120;120;Business;South Roosevelt Drive;;Pierre;;;;US;Lyndon.Harrison@gmail.com;234-555-1212
1121;121;Business;Tanger Blvd;;Springfield;;;;US;Benjamin.Jackson@gmail.com;234-555-1212
1122;122;Business;North Preisker Lane;;Boston;;;;US;Rutherford.Tyler@gmail.com;234-555-1212
1123;123;Personnal;South Highway;;Oklahoma City;;;;US;Thomas.Johnson@gmail.com;234-555-1212
1124;124;Business;Erringer Road;;Little Rock;;;;US;Jimmy.Arthur@gmail.com;234-555-1212
1125;125;Business;Carpinteria South;;Atlanta;;;;US;Benjamin.Washington@gmail.com;234-555-1212
1126;126;Business;W. Russell St.;;Lansing;;;;US;Franklin.Clinton@gmail.com;234-555-1212
1127;127;Personnal;East Calle Primera;;Bismarck;;;;US;Dwight.Reagan@gmail.com;234-555-1212
1128;128;Business;Hutchinson Rd;;Harrisburg;;;;US;James.Johnson@gmail.com;234-555-1212
1129;129;Personnal;Calle Real;;Juneau;;;;US;Jimmy.Truman@gmail.com;234-555-1212
1130;130;Business;Camelback Rd;;Concord;;;;US;James.Van Buren@gmail.com;234-555-1212
1131;131;Personnal;North Atherton Street;;Tallahassee;;;;US;Dwight.Madison@gmail.com;234-555-1212
1132;132;Personnal;Carpinteria Avenue;;Little Rock;;;;US;Richard.Jefferson@gmail.com;234-555-1212
1133;133;Personnal;Redwood Highway;;Cheyenne;;;;US;Harry.Taft@gmail.com;234-555-1212
1134;134;Business;Lake Tahoe Blvd.;;Phoenix;;;;US;William.Ford@gmail.com;234-555-1212
1135;135;Business;Fontaine Road;;Salt Lake City;;;;US;Franklin.Harrison@gmail.com;234-555-1212
1136;136;Business;Steele Lane;;Tallahassee;;;;US;John.Adams@gmail.com;234-555-1212
1137;137;Personnal;East 1st Street;;Hartford;;;;US;Theodore.Polk@gmail.com;234-555-1212
1138;138;Business;Moreno Drive;;Providence;;;;US;James.Quincy@gmail.com;234-555-1212
1139;139;Business;San Ysidro Blvd;;Frankfort;;;;US;Jimmy.Taft@gmail.com;234-555-1212
1140;140;Personnal;Via Real;;Pierre;;;;US;Rutherford.Jefferson@gmail.com;234-555-1212
1141;141;Business;Katella Avenue;;Olympia;;;;US;Thomas.Coolidge@gmail.com;234-555-1212
1142;142;Business;Richmond Hill;;Albany;;;;US;Dwight.Van Buren@gmail.com;234-555-1212
1143;143;Business;Jones Road;;Lincoln;;;;US;Benjamin.Nixon@gmail.com;234-555-1212
