sysid;customerId;last;first;gender
100;C1000;Adams;Rutherford;M
101;C1001;Quincy;John;F
102;C1002;Harrison;James;M
103;C1003;McKinley;Ronald;M
104;C1004;Ford;Chester;F
105;C1005;Jackson;Millard;M
106;C1006;Truman;John;F
107;C1007;Hayes;William;M
108;C1008;Cleveland;Rutherford;M
109;C1009;Madison;James;M
110;C1010;Taft;Grover;M
111;C1011;Tyler;Grover;F
112;C1012;Eisenhower;Benjamin;M
113;C1013;Jefferson;Gerald;M
114;C1014;Garfield;Chester;M
115;C1015;Fillmore;William;F
116;C1016;Madison;Dwight;F
117;C1017;Cleveland;Theodore;M
118;C1018;Reagan;Dwight;M
119;C1019;Roosevelt;Theodore;M
120;C1020;Harrison;Lyndon;M
121;C1021;Jackson;Benjamin;M
122;C1022;Tyler;Rutherford;M
123;C1023;Johnson;Thomas;M
124;C1024;Arthur;Jimmy;M
125;C1025;Washington;Benjamin;M
126;C1026;Clinton;Franklin;M
127;C1027;Reagan;Dwight;M
128;C1028;Johnson;James;M
129;C1029;Truman;Jimmy;F
130;C1030;Van Buren;James;M
131;C1031;Madison;Dwight;F
132;C1032;Jefferson;Richard;M
133;C1033;Taft;Harry;M
134;C1034;Ford;William;M
135;C1035;Harrison;Franklin;F
136;C1036;Adams;John;M
137;C1037;Polk;Theodore;M
138;C1038;Quincy;James;M
139;C1039;Taft;Jimmy;M
140;C1040;Jefferson;Rutherford;F
141;C1041;Coolidge;Thomas;F
142;C1042;Van Buren;Dwight;F
143;C1043;Nixon;Benjamin;F
144;C1044;Buchanan;Franklin;M
145;C1045;Monroe;Warren;M
146;C1046;Madison;Franklin;F
147;C1047;Cleveland;Franklin;F
148;C1048;Eisenhower;James;M
149;C1049;Johnson;Bill;M
150;C1050;Hoover;Benjamin;F
151;C1051;Roosevelt;Richard;F
152;C1052;Grant;Millard;F
153;C1053;Clinton;Grover;F
154;C1054;Adams;Dwight;F
155;C1055;McKinley;Thomas;M
156;C1056;Johnson;Millard;M
157;C1057;Quincy;Herbert;F
158;C1058;Garfield;Franklin;F
159;C1059;Hoover;Warren;M
160;C1060;Roosevelt;George;M
161;C1061;Tyler;Dwight;M
162;C1062;Roosevelt;Ronald;M
163;C1063;Adams;John;M
164;C1064;Jackson;Lyndon;F
165;C1065;Quincy;Martin;F
166;C1066;Harding;William;F
167;C1067;McKinley;Harry;F
168;C1068;Washington;Rutherford;M
169;C1069;Taylor;Rutherford;M
170;C1070;Arthur;Gerald;F
171;C1071;Jackson;Millard;F
172;C1072;Polk;Grover;M
173;C1073;Washington;Bill;F
174;C1074;Nixon;Woodrow;F
175;C1075;Quincy;Woodrow;F
176;C1076;Cleveland;Ronald;F
177;C1077;Carter;Ronald;M
178;C1078;Adams;Herbert;F
179;C1079;Nixon;Grover;M
180;C1080;Adams;George;M
181;C1081;Coolidge;George;F
182;C1082;Carter;William;F
183;C1083;Monroe;Thomas;M
184;C1084;Cleveland;Herbert;M
185;C1085;Carter;Benjamin;F
186;C1086;Adams;Chester;M
187;C1087;Reagan;Ulysses;M
188;C1088;Reagan;Ulysses;F
189;C1089;Eisenhower;Richard;F
190;C1090;Grant;Lyndon;M
191;C1091;Adams;Gerald;F
192;C1092;Carter;Jimmy;M
193;C1093;Garfield;William;F
194;C1094;Polk;Abraham;M
195;C1095;Nixon;Franklin;F
196;C1096;Jefferson;Dwight;F
197;C1097;Jackson;Dwight;F
198;C1098;Hayes;Chester;M
199;C1099;Garfield;Benjamin;M
