sysid;customerId;addressType;street1;street2;city;zip;zipExtension;state;country;email;phone
1100;100;Business;East Calle Primera;;Des Moines;;;FL;US;Gerald.Roosevelt@gmail.com;234-555-1212
1101;101;Personnal;Pacific Hwy S;;Annapolis;;;OR;US;Jimmy.Van Buren@gmail.com;234-555-1212
1102;102;Business;North Broadway Street;;Raleigh;;;FL;US;Martin.Buchanan@gmail.com;234-555-1212
1103;103;Personnal;W. Russell St.;;Providence;;;MD;US;Martin.Harrison@gmail.com;234-555-1212
1104;104;Business;Timberlane Drive;;Denver;;;NC;US;Thomas.Grant@gmail.com;234-555-1212
1105;105;Personnal;Greenwood Road;;Topeka;;;NJ;US;Benjamin.Grant@gmail.com;234-555-1212
1106;106;Business;S Rustle St;;Albany;;;ME;US;Jimmy.Johnson@gmail.com;234-555-1212
1107;107;Business;Cabrillo Highway;;Austin;;;MI;US;Herbert.Adams@gmail.com;234-555-1212
1108;108;Personnal;Calle Real;;Topeka;;;VT;US;Millard.Eisenhower@gmail.com;234-555-1212
1109;109;Business;Corona Del Mar;;Saint Paul;;;SC;US;Herbert.Jackson@gmail.com;234-555-1212
1110;110;Business;Lake Tahoe Blvd.;;Denver;;;OK;US;George.Cleveland@gmail.com;234-555-1212
1111;111;Personnal;San Diego Freeway;;Pierre;;;CO;US;Rutherford.Harding@gmail.com;234-555-1212
1112;112;Personnal;Bowles Avenue;;Indianapolis;;;MI;US;Herbert.Monroe@gmail.com;234-555-1212
1113;113;Business;French Camp Turnpike Road;;Sacramento;;;WI;US;Millard.Johnson@gmail.com;234-555-1212
1114;114;Business;Bailard Avenue;;Tallahassee;;;ME;US;Harry.Fillmore@gmail.com;234-555-1212
1115;115;Personnal;Cerrillos Road;;Boston;;;OR;US;Ulysses.Harrison@gmail.com;234-555-1212
1116;116;Business;North Atherton Street;;Springfield;;;ME;US;Dwight.Harrison@gmail.com;234-555-1212
1117;117;Personnal;North Atherton Street;;Sacramento;;;MT;US;Richard.Harrison@gmail.com;234-555-1212
1118;118;Personnal;Camelback Rd;;Atlanta;;;GA;US;Rutherford.Roosevelt@gmail.com;234-555-1212
1119;119;Personnal;North Broadway Street;;Topeka;;;PA;US;Chester.McKinley@gmail.com;234-555-1212
1120;120;Business;San Simeon;;Olympia;;;HI;US;Grover.Grant@gmail.com;234-555-1212
1121;121;Business;French Camp Turnpike Road;;Tallahassee;;;NV;US;James.Cleveland@gmail.com;234-555-1212
1122;122;Personnal;Redwood Highway;;Honolulu;;;ID;US;Jimmy.Harrison@gmail.com;234-555-1212
1123;123;Business;N Kentwood;;Jackson;;;NC;US;Andrew.Johnson@gmail.com;234-555-1212
1124;124;Personnal;Camelback Rd;;Boise;;;WI;US;Grover.Johnson@gmail.com;234-555-1212
1125;125;Personnal;Redwood Highway;;Tallahassee;;;WA;US;Warren.Pierce@gmail.com;234-555-1212
1126;126;Business;Cleveland Ave.;;Jackson;;;GA;US;Herbert.Tyler@gmail.com;234-555-1212
1127;127;Business;Tanger Blvd;;Harrisburg;;;PA;US;Benjamin.Coolidge@gmail.com;234-555-1212
1128;128;Business;Milpas Street;;Des Moines;;;SD;US;Theodore.Eisenhower@gmail.com;234-555-1212
1129;129;Business;North Broadway Street;;Salt Lake City;;;NY;US;Ronald.Johnson@gmail.com;234-555-1212
1130;130;Business;Katella Avenue;;Frankfort;;;MD;US;Grover.Pierce@gmail.com;234-555-1212
1131;131;Business;East Fry Blvd.;;Madison;;;RI;US;Lyndon.Roosevelt@gmail.com;234-555-1212
1132;132;Personnal;Lake Tahoe Blvd.;;Richmond;;;TX;US;Benjamin.Van Buren@gmail.com;234-555-1212
1133;133;Personnal;Jones Road;;Albany;;;OR;US;Richard.Garfield@gmail.com;234-555-1212
1134;134;Business;San Ysidro Blvd;;Hartford;;;HI;US;Thomas.Monroe@gmail.com;234-555-1212
1135;135;Personnal;N Harrison St;;Columbus;;;TX;US;Benjamin.Cleveland@gmail.com;234-555-1212
1136;136;Business;North Ventu Park Road;;Austin;;;OH;US;Jimmy.Polk@gmail.com;234-555-1212
1137;137;Personnal;Redwood Highway;;Santa Fe;;;MD;US;Thomas.Nixon@gmail.com;234-555-1212
1138;138;Personnal;Timberlane Drive;;Olympia;;;MS;US;Zachary.Taylor@gmail.com;234-555-1212
1139;139;Business;S Rustle St;;Sacramento;;;OK;US;Chester.Taylor@gmail.com;234-555-1212
1140;140;Personnal;San Diego Freeway;;Des Moines;;;CA;US;Gerald.Buchanan@gmail.com;234-555-1212
