sysid;customerId;last;first;gender
100;C1000;Roosevelt;Gerald;M
101;C1001;Van Buren;Jimmy;F
102;C1002;Buchanan;Martin;F
103;C1003;Harrison;Martin;M
104;C1004;Grant;Thomas;M
105;C1005;Grant;Benjamin;M
106;C1006;Johnson;Jimmy;F
107;C1007;Adams;Herbert;F
108;C1008;Eisenhower;Millard;F
109;C1009;Jackson;Herbert;M
110;C1010;Cleveland;George;F
111;C1011;Harding;Rutherford;M
112;C1012;Monroe;Herbert;M
113;C1013;Johnson;Millard;F
114;C1014;Fillmore;Harry;M
115;C1015;Harrison;Ulysses;F
116;C1016;Harrison;Dwight;F
117;C1017;Harrison;Richard;F
118;C1018;Roosevelt;Rutherford;M
119;C1019;McKinley;Chester;M
120;C1020;Grant;Grover;F
121;C1021;Cleveland;James;F
122;C1022;Harrison;Jimmy;M
123;C1023;Johnson;Andrew;M
124;C1024;Johnson;Grover;F
125;C1025;Pierce;Warren;F
126;C1026;Tyler;Herbert;F
127;C1027;Coolidge;Benjamin;M
128;C1028;Eisenhower;Theodore;M
129;C1029;Johnson;Ronald;M
130;C1030;Pierce;Grover;F
131;C1031;Roosevelt;Lyndon;F
132;C1032;Van Buren;Benjamin;F
133;C1033;Garfield;Richard;F
134;C1034;Monroe;Thomas;M
135;C1035;Cleveland;Benjamin;M
136;C1036;Polk;Jimmy;M
137;C1037;Nixon;Thomas;F
138;C1038;Taylor;Zachary;M
139;C1039;Taylor;Chester;F
140;C1040;Buchanan;Gerald;M
141;C1041;Washington;Thomas;M
142;C1042;Hoover;Benjamin;M
143;C1043;Van Buren;Grover;M
144;C1044;Grant;Warren;M
145;C1045;Adams;Herbert;F
146;C1046;Madison;Calvin;F
147;C1047;Washington;Bill;M
148;C1048;Harding;Benjamin;F
149;C1049;Tyler;Benjamin;F
150;C1050;Eisenhower;Benjamin;M
151;C1051;Eisenhower;Ronald;F
152;C1052;Washington;Richard;F
153;C1053;Hayes;Jimmy;F
154;C1054;Grant;George;M
155;C1055;Pierce;Herbert;M
156;C1056;Adams;Harry;F
157;C1057;Polk;James;F
158;C1058;Van Buren;Grover;M
159;C1059;Harding;Chester;F
160;C1060;Arthur;Theodore;M
161;C1061;Madison;George;F
162;C1062;Roosevelt;Andrew;F
163;C1063;Madison;Jimmy;F
164;C1064;Johnson;John;F
165;C1065;Coolidge;Thomas;M
166;C1066;Truman;James;F
167;C1067;Grant;Andrew;M
168;C1068;Arthur;Calvin;M
169;C1069;Roosevelt;George;M
170;C1070;Monroe;Grover;F
171;C1071;Hayes;Richard;F
172;C1072;Quincy;Bill;M
173;C1073;Garfield;Ronald;F
174;C1074;Nixon;Dwight;F
175;C1075;Roosevelt;Abraham;M
176;C1076;Taft;Ronald;M
177;C1077;Grant;Martin;M
178;C1078;Quincy;Warren;F
179;C1079;Ford;Calvin;F
180;C1080;Grant;Benjamin;M
181;C1081;Reagan;Millard;M
182;C1082;Clinton;Calvin;M
183;C1083;Monroe;Calvin;M
184;C1084;Harding;Franklin;M
185;C1085;Polk;George;M
186;C1086;Eisenhower;Harry;M
187;C1087;Cleveland;Richard;M
188;C1088;Van Buren;Warren;F
189;C1089;Roosevelt;John;F
190;C1090;Harrison;Andrew;F
191;C1091;Fillmore;Rutherford;F
192;C1092;Carter;Ronald;F
193;C1093;Taft;Andrew;F
194;C1094;Lincoln;Martin;M
195;C1095;Washington;Herbert;F
196;C1096;Quincy;William;M
197;C1097;Harrison;Bill;M
198;C1098;Fillmore;Martin;M
199;C1099;Quincy;Calvin;F
