sysid;customerId;addressType;street1;street2;city;zip;zipExtension;state;country;email;phone
1100;100;Personnal;N Harrison St;;Baton Rouge;;;;US;Rutherford.McKinley@gmail.com;234-555-1212
1101;101;Personnal;Calle Real;;Raleigh;;;;US;Zachary.Grant@gmail.com;234-555-1212
1102;102;Personnal;Bowles Avenue;;Juneau;;;;US;Harry.Harrison@gmail.com;234-555-1212
1103;103;Business;W. Russell St.;;Topeka;;;;US;Abraham.Tyler@gmail.com;234-555-1212
1104;104;Personnal;Santa Ana Freeway;;Austin;;;;US;Ronald.Harrison@gmail.com;234-555-1212
1105;105;Personnal;East Calle Primera;;Saint Paul;;;;US;Franklin.Madison@gmail.com;234-555-1212
1106;106;Personnal;San Simeon;;Pierre;;;;US;Thomas.Eisenhower@gmail.com;234-555-1212
1107;107;Business;East Calle Primera;;Annapolis;;;;US;Ronald.Garfield@gmail.com;234-555-1212
1108;108;Personnal;North Atherton Street;;Honolulu;;;;US;Ulysses.Grant@gmail.com;234-555-1212
1109;109;Personnal;Katella Avenue;;Providence;;;;US;Calvin.Jackson@gmail.com;234-555-1212
1110;110;Business;Westside Freeway;;Jefferson City;;;;US;Lyndon.Lincoln@gmail.com;234-555-1212
1111;111;Personnal;Padre Boulevard;;Jefferson City;;;;US;Lyndon.Madison@gmail.com;234-555-1212
1112;112;Personnal;East Main Street;;Madison;;;;US;Theodore.Madison@gmail.com;234-555-1212
1113;113;Business;North Erringer Road;;Jefferson City;;;;US;Herbert.Taft@gmail.com;234-555-1212
1114;114;Personnal;San Luis Obispo North;;Indianapolis;;;;US;Dwight.Tyler@gmail.com;234-555-1212
1115;115;Personnal;Burnett Road;;Trenton;;;;US;Harry.Johnson@gmail.com;234-555-1212
1116;116;Business;Monroe Street;;Boston;;;;US;Gerald.Jefferson@gmail.com;234-555-1212
1117;117;Personnal;Santa Rosa South;;Columbus;;;;US;Gerald.Roosevelt@gmail.com;234-555-1212
1118;118;Business;Moreno Drive;;Boston;;;;US;Jimmy.Reagan@gmail.com;234-555-1212
1119;119;Personnal;Santa Rosa North;;Providence;;;;US;Rutherford.Carter@gmail.com;234-555-1212
1120;120;Personnal;Santa Ana Freeway;;Honolulu;;;;US;Millard.Hoover@gmail.com;234-555-1212
1121;121;Personnal;Woodson Rd.;;Albany;;;;US;Franklin.Harding@gmail.com;234-555-1212
1122;122;Personnal;Corona Del Mar;;Baton Rouge;;;;US;Harry.Adams@gmail.com;234-555-1212
1123;123;Business;Lake Tahoe Blvd.;;Salem;;;;US;Martin.Fillmore@gmail.com;234-555-1212
1124;124;Business;Grandview Drive;;Frankfort;;;;US;Zachary.Coolidge@gmail.com;234-555-1212
1125;125;Business;Carpinteria North;;Columbus;;;;US;Bill.Nixon@gmail.com;234-555-1212
1126;126;Business;Westside Freeway;;Augusta;;;;US;Theodore.Taft@gmail.com;234-555-1212
1127;127;Personnal;E Fowler Avenue;;Helena;;;;US;Lyndon.Pierce@gmail.com;234-555-1212
1128;128;Business;North Preisker Lane;;Dover;;;;US;Ronald.Taft@gmail.com;234-555-1212
1129;129;Personnal;North Erringer Road;;Boston;;;;US;Andrew.Coolidge@gmail.com;234-555-1212
1130;130;Personnal;Fontaine Road;;Richmond;;;;US;Franklin.Grant@gmail.com;234-555-1212
1131;131;Personnal;Bowles Avenue;;Jefferson City;;;;US;Andrew.Adams@gmail.com;234-555-1212
1132;132;Business;Katella Avenue;;Tallahassee;;;;US;Abraham.Wilson@gmail.com;234-555-1212
1133;133;Personnal;Tully Road East;;Pierre;;;;US;James.McKinley@gmail.com;234-555-1212
1134;134;Business;Westside Freeway;;Salt Lake City;;;;US;Theodore.Garfield@gmail.com;234-555-1212
1135;135;Business;Katella Avenue;;Jackson;;;;US;Jimmy.Quincy@gmail.com;234-555-1212
